3239	Plattenleger	01 Messen & Anzeichnen	Anreisswerkzeuge	4	Steinhauer-Bleistift flachoval	040-784	Bruchfester Anreissstift für Markierungen auf rauen Oberflächen.
1080	Plattenleger	01 Messen & Anzeichnen	Anschreibmaterial	3	Pentel NN50 Filzstift	100-200	Wasserfester Marker für dauerhafte Anschriften.
7315	Plattenleger	01 Messen & Anzeichnen	Kreuzlinienlaser	2	FLEX Aktion Selbstnivellierender Kreuzlinien-Laser ALC 3/1-G/R	050-572	Selbstnivellierender Kreuzlinien-Laser mit Lotfunktion.
6108	Plattenleger	01 Messen & Anzeichnen	Linienlaser	2	FLEX  Aktion Akku Linienlaser 360° ALC3/360-G/R 12 Volt	050-278	Akku-Kreuzlinienlaser 360° mit grüner Laserlinie und Selbstnivellierung.
7566	Plattenleger	02 Schneiden & Trennen	Brückensäge-Trennscheiben Grossformat	4	FERRAMICS Ø350/30 Blau für Tischsägen	031-215 350 30	Diamanttrennscheibe für Grossformatplatten wie Dekton und Neolith.
4026	Plattenleger	02 Schneiden & Trennen	Diamant-Trennscheiben	4	Bildhauer Diamanttrennscheiben für Trockenschnitt		Diamanttrennscheibe mit Vollmantelbelag für Bildhauerarbeiten.
6322	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben	4	DTS ø150 X M14 LASER Performer ohne Kühllöcher	032-115	Universal-Diamanttrennscheibe für Stein und Beton, Ø 150 mm.
2652	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben	4	KGS Swiflex-COBRA Diamanttrennscheibe mit Aufnahme M14		Universelle Trenn- und Schruppscheibe, galvanisiert.
7229	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben	4	NORTON DTS Ø125mm/22,2mm Mr. Invincible	030-600 125	Universal-Diamanttrennscheibe Ø125mm, nass und trocken, unzerstörbar.
7230	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben	4	NORTON DTS Ø230mm/22,2mm Mr. Invincible	030-600 230	Universal-Diamanttrennscheibe Ø230mm, nass und trocken, unzerstörbar.
6359	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø230 Ceramics Aufnahme 22.2mm	031-199 230	Ferrix-Trennscheibe für Feinsteinzeug und Grossformate, Ø 230 mm.
6360	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø250 Ceramics Aufnahme 25.4mm	031-199 250	Ferrix-Trennscheibe für Feinsteinzeug und Grossformate, Ø 250 mm.
6364	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø115 mm Ceramics Aufnahme 22.2mm	031-199 115	Ferrix-Trennscheibe für Feinsteinzeug, kompaktes Format Ø 115 mm.
6365	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø125 Ceramics Aufnahme 22.2mm	031-199 125	Ferrix-Trennscheibe für Feinsteinzeug, Standardformat Ø 125 mm.
6366	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø150 Ceramics Aufnahme 22.2mm	031-199 150	Ferrix-Trennscheibe für Feinsteinzeug, Ø 150 mm.
6367	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben (Ferrix)	4	FERRIX DTS EPIC Ø180 Ceramics Aufnahme 22.2mm	031-199 180	Ferrix-Trennscheibe für Feinsteinzeug, Ø 180 mm.
7469	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	ESTHETE 2.0 Diamanttrennscheibe Ø115mm x 1.1mm x 22.23mm	032-670	Extradünne Trennscheibe für saubere Schnitte in glasierter Keramik.
7471	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	Diamanttrennscheibe PERFECT Ø125mm x 1.5mm M14	032-674	Robuste 1,5-mm-Trennscheibe für saubere Kanten in Feinsteinzeug.
7472	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	TERMIT Diamanttrennscheibe Ø76mm	032-668	Kompakte Trennscheibe für sauberen Schnitt in dickem Feinsteinzeug.
7473	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	COLIBRI Diamanttrennscheibe Ø76mm	032-666	Präzise Trennscheibe Ø76mm für filigrane Verkleidungsschnitte.
7614	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	FLEX Diamanttrennscheibe DIA-CD Ø76 x 1.2 x 10mm	050-692	Präzisionstrennscheibe für Hartkeramik ohne Abplatzungen.
7703	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	DISTAR DTS HARD CERAMICS Ø200mm x 25.4 x 1.5mm		Diamanttrennscheibe mit hoher Standzeit für dekorierte Keramik.
7726	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	Elegant  DTS Ø100mm x 1mm x 10mm trocken für Keramik & Feinsteinzeug	032-724	Feinschnitt-Trennscheibe ohne Absplitterungen bei glasierten Fliesen.
7845	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	DISTAR Shine Ø125/0.6mm DTS für Akku Geräte	032-671 125	Ultradünne Trennscheibe für nassen Schnitt an Akku-Geräten.
7864	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	DISTAR MasterCUT Ø76 Diamanttrennscheibe trocken für Keramik	032-669 76	Trennscheibe für Feinsteinzeug an leistungsschwachen 76-mm-Geräten.
7865	Plattenleger	02 Schneiden & Trennen	Diamanttrennscheiben Feinsteinzeug	4	DISTAR MasterCUT Ø125mm Diamanttrennscheibe trocken für Keramik	032-669 125	Diamanttrennscheibe für Feinsteinzeug und Glas mit hoher Standzeit.
6280	Plattenleger	02 Schneiden & Trennen	FEIN Multitool-Zubehör	4	FEIN Segmentmesser SLM Diamant 1.2 mm	050-003 SM12	Diamant-Segmentmesser für dünne Fugen, 1,2 mm Schnittbreite.
6281	Plattenleger	02 Schneiden & Trennen	FEIN Multitool-Zubehör	4	FEIN Segmentmesser SLM Diamant 2.2 mm	050-003 SM22	Diamant-Segmentmesser für Fugen, 2,2 mm Schnittbreite.
6282	Plattenleger	02 Schneiden & Trennen	FEIN Multitool-Zubehör	3	FEIN E-Cut Sägeblatt SLP U-BIM 60x44mm	050-003 SLP U-BIM	Universal-Sägeblatt für Metall, Holz und Kunststoff.
6284	Plattenleger	02 Schneiden & Trennen	FEIN Multitool-Zubehör	3	FEIN E-Cut Metall-Sägeblatt SLM HM Carbide Pro	050-003 SLM HM	TiN-beschichtetes Hartmetall-Sägeblatt für harte Metalle.
6476	Plattenleger	02 Schneiden & Trennen	Feinsteinzeug-Sägeblätter	4	FERRIX DTS ICON Ø400 mm Step 2.5 mm Bohrung 60mm + BRETON NL	031-297 400	CNC-Sägeblatt für schnelles, leises Schneiden von Grossformat-Feinsteinzeug.
5937	Plattenleger	02 Schneiden & Trennen	Feinsteinzeug-Trennscheiben	4	BETCUT NSTTB1,2 Ø125mm / 150 mm Keramik mit M14 Premium CH Flansch		Keramik-Trennscheibe New Shape Turbo Thin Ø125/150mm für Feinsteinzeug-Trockenschnitt.
4066	Plattenleger	02 Schneiden & Trennen	Feinsteinzeug-Trennscheiben	4	BETCUT CERAMICS Turbo Nassanwendung		Trennscheibe für Feinsteinzeug im Materialmix mit Naturstein.
4096	Plattenleger	02 Schneiden & Trennen	Feinsteinzeug-Trennscheiben	4	KGS RED K835 Diamant Trennscheibe Ø115 - Ø125 mm		Präzise Trennscheibe für Keramik, Dekton und Terrazzo, trocken.
4242	Plattenleger	02 Schneiden & Trennen	Feinsteinzeug-Trennscheiben	4	KGS RED FINE CUT K840 CERAMICS	032-080	Feine Trennscheibe für Keramik und Naturstein, schmale Schnittfuge.
